,at,score,thumbsUpCount,content
0,2022-04-25,3,0,비싼 돈 줘가면서 열심히 쓰고 있는데 화면 꺼지면 음악이 종종 끊기고 화면 켜져 있어도 자꾸 그러고 리플레이 버튼은 활성화도 안 되고... 가끔씩 튕기는 경우도 있던데 솔직히 대형 플랫폼 뮤직 앱에서 이러면 안 되는 거 아닙니까? 제발 버그 좀 고쳐 주세요. 돈까지 받으시면서 양심적으로 이러지는 맙시다.
1,2022-04-25,4,0,굿
2,2022-04-24,3,0,갤럭시 빅스비루틴. 유튜브뮤직 재생 적용안됩니다
3,2022-04-24,5,0,개좋네여
4,2022-04-24,1,0,진짜 극명한 단점 1. 자동추천으로 듣다보면 갑자기 되게 오래된 노래나 다른 언어권 노래가 끼여서 나옴. 문제는 싫어요 눌러도 소용이 없음. 알고리즘이 일을 안 함. 2. 셔플기능 활성화하면 트랙이 지멋대로 특정 노래 몇 개로 고정되어버림. 고생해서 재생목록을 아무리 만들어놔도 셔플누르는 순간 몇십개 곡만 무한반복함. 심지어 트랙리스트가 생성되는 순간 셔플한 의미가 없게 순서도 안 바뀜. 재생목록에 180여곡이 있는데 나머지 곡들 ㅇㄷ? 3. 노래들이 너무 자주 차단됨. 뭔가 이상해서 재생목록 들어가보면 !뜬 노래들이 너무 많음. 일부 노래들은 검색해서 나온 똑같은 노래인데도 차단당해있음 4. 유튜브 재생목록(과 좋아요)를 공유함. 좋아하는 노래가 나와도 좋아요 못 누름. 지저분함. 5. 여러개 선택하는 기능이 없음 6. 재생목록 내 검색이 안 됨. 노래 하나 찾고 싶으면 스크롤바 내리는 수밖에 없음
5,2022-04-24,5,0,잘 들리면 됩니다
6,2022-04-24,1,0,유튜브에서는 무료로 감상 가능한 음악을 유튜브 뮤직에서는 유료 프리미엄 화원만 감상 가는하게 해놓으셨다면 유튜브 뮤직이 존재하는 이유를 이해하기는 어려울 듯 합니다.
7,2022-04-24,5,0,매우 만족
8,2022-04-24,4,0,유저가 가사를 등록할수있으면좋겠음 유튜브자막처럼 아니면 성실하게 가사를 등록해주든지......
9,2022-04-24,5,0,너무너무 좋아요
10,2022-04-24,1,0,"유튜브 프리미엄 쓰고 있다보니 사용은 하는데, 세상 불친절하고 에러 많아서 못 쓰겠음"
11,2022-04-23,1,0,수시로 끊김
12,2022-04-23,5,0,너무좋아요
13,2022-04-23,4,0,일반 어플에서 듣기 어려운곡들도 들을수있어서 좋은거 같아요
14,2022-04-23,5,0,y͎̜̙̦͙̺͂͐ͦ̎̌̔e̗̥̤e̓̿ͤͦ͟e͓̯͔ͤ̍͒̏ͬe͊̽́ề͉̭̘̝̱ͅͅe̶̜͎̱̗̐̽̔̈́à̗͉̘̤h̃
15,2022-04-23,4,0,잘 쓰고 있었는데 요즘 갑자기 버그들이 많네요.. 인기 탑100을 눌렀는데 뮤직비디오가 나오질 않나 임창정 노래를 눌렀는데 제목이랑 정보는 아이브 노래가 나오질않나... 수정해주시면 감사하겠습니다.
16,2022-04-23,1,0,가로모드 만들어줘요
17,2022-04-23,5,0,유튜브 프리미엄 결제하고나서 이걸 사용 가능하다는것을 알았는데 너무 좋음 멜론 버금가는듯 사실상 유튜브 프리미엄은 뮤직이랑 백그라운드 재생이랑 광고제거 때문에 쓴다고 봐도 무방함
18,2022-04-23,5,0,진짜 필수앱
19,2022-04-23,5,0,쿠쿠루삥뽕
20,2022-04-22,5,0,Good curation and recommended playlists.
21,2022-04-22,5,0,좋아요
22,2022-04-22,4,0,플레이리스트에 담는게 불편하고 다중 선택이 가능했으면 좋겠어요 이외에는 너무조아요
23,2022-04-22,1,0,좋아요 하면 하단에 나오는 메세지 없애주든가 빨리 사라지게 했으면 하고 플레이리스트 순서는 왜 변경이 안되는 것이며 한국노래에 왜 일본어 가사가 들어가 있는지 모르겠음 불편한게 한둘이 아님 진짜 유튜브프리미엄이랑 같이 쓰는거 아니었음 제대로된 취급도 거들떠도 안봤을 거 같음
24,2022-04-22,5,0,very nice!!
25,2022-04-22,5,0,굿
26,2022-04-22,4,0,제발 선택재생 가능하게 해주세요ㅠㅠ 재생목록 만들기 너무 힘들어요ㅠ
27,2022-04-22,5,0,Very good
28,2022-04-22,5,0,정말 쓰기 좋고 편한데 비쌈 ㅜㅜ
29,2022-04-22,4,0,굿
30,2022-04-22,5,0,유튜브 선생님! 워치에서도 선곡해서 듣고싶어요! 언제까지 랜덤으로 들으라는건지?
31,2022-04-21,5,0,나이스
32,2022-04-21,4,0,내 재생목록을 분명 셔플로 재생을 해서 듣고 있는데 다음곡이 내 예상대로 나온다면 이건 셔플이 아닌 거 나머지는 전부 만족
33,2022-04-21,1,0,오류 투성이
34,2022-04-21,4,0,"블루투스 스피커로 미러링 할 때 뮤직스테이션 등 재생목록이 자동으로 만들어지지 않고 한 곡만 재생되다 끊기는 오류가 있습니다 빨리 개선해주세요 너무 불편합니다ㅠ 또 하나, 재생목록에서 곡을 다중선택하여 동시에 삭제할 수 있으면 좋겠습니다 한 번에 하나씩 삭제하기 불편해요"
35,2022-04-21,4,0,노래는 확실히 많이 있지만 가사가 없는 노래가 많다.
36,2022-04-21,5,0,늘듣던 유료음악싸이트 보다 훨 좋아요 음질도 더 좋구요 왜 진작 몰랐는지 억울해요 유튜브프리미엄으로 다 되는것을
37,2022-04-21,2,0,"플레이리스트 추가 시 에러400, 에러503 어떻게 해결하나요?"
38,2022-04-21,5,0,잘 쓰고있어요 너무 편합니다^^
39,2022-04-21,1,0,프리미엄 사용중인데 핸폰 화면 끄면 음악이 자꾸 끊겨서 나오네요 핸폰 문제인지 어플 문제인지 모르겠지만 재설치 및 배타리 사용량 설정 캐시 삭제 권한설정 등 해봐도 소용이없네요
40,2022-04-21,1,0,자주쓰지않아 잘모릅니다.
41,2022-04-21,4,0,왜 음악들 뒷부분 몇초들이 전부 잘려버리는건가요?
42,2022-04-21,5,0,업뎃후 이됨
43,2022-04-21,3,0,다좋은데 티비연결이 안되네요. 유튜브는 연결되는데 유튜브뮤직은 왜안되는걸까요ㅠㅠ
44,2022-04-20,1,0,끊김
45,2022-04-20,1,0,노래 지우는거 없어요 이거 점3개 눌러도 삭제 버튼 없어요 쓰레기네요
46,2022-04-20,5,0,사용편리
47,2022-04-20,5,0,좋앙
48,2022-04-20,1,1,업데이트 후 화면이 꺼지면 음악이 정지됩니다. 빠른 수정바랍니다.
49,2022-04-20,3,4,목록이나 재생목록에 선택해서 한번에 추가하는 기능이 너무 절실합니다
50,2022-04-20,5,0,좋습니다. 다만 개선을 바라는 점이 있다면 재생목록에 있는 곡 삭제할 때 여러 개를 한꺼번에 삭제할 수 있었으면 좋겠습니다. 플레이리스트에 있는 곡도 마찬가지로요.
51,2022-04-20,5,1,좋아하는 음악 많이 있어요. 음질을 좀 높였으면.
52,2022-04-20,4,0,배속재생좀
53,2022-04-20,5,0,무지 재미있게 듣고 잇어요
54,2022-04-20,1,0,지속되는 끊김 및 노래 검색후 들을시 다음노래 재생 x
